fecha	titular	fuente	categoria
2018-11-14 07:07:35-03	Un 'huracán' de materia oscura se aproxima a la Tierra	MDZ Online	Ciencia y Tecnologia
2018-11-13 16:20:47-03	Review – Moto e5 Play: Android Go para potenciar el rendimiento	Zoom Tecnológico Chile (Comunicado de prensa) (blog)	Ciencia y Tecnologia
2018-11-14 01:07:09-03	Fallo en Facebook expuso información de perfil a ladrones de datos	CNET en Español	Ciencia y Tecnologia
2018-11-14 10:40:00-03	La novedad que trae WhatsApp para agregar contactos	Diario ElSol.com.ar Mendoza	Ciencia y Tecnologia
2018-11-14 08:49:12-03	Las primeras lluvias en 500 años en Atacama arrasan con sus microbios: ¿es así en Marte?	CNN Chile	Ciencia y Tecnologia
2018-11-12 17:51:34-03	Proponen cómo sería una versión actual de la mítica Ferrari F40, ¿va o no va?	TN	Ciencia y Tecnologia
2018-11-14 01:11:05-03	¿Por qué se calientan los teléfonos Android?	TyN Magazine	Ciencia y Tecnologia
2018-11-14 09:01:56-03	"Caliente"": el nuevo videoclip súper provocativo de Lali Espósito	Infobae.com	Entretenimiento
2018-11-14 09:35:09-03	Al fin lo dijo: Mauro Caiazza le preguntó a Jimena Barón si quería ser la novia y ella... ¡reaccionó así!	El Trece	Entretenimiento
2018-11-14 02:16:52-03	ShowMatch 2018: en una noche de besos y peleas, Gabo Usandivaras abandonó el ""Bailando por un sueño"	LA NACION (Argentina.)	Entretenimiento
2018-11-14 09:34:27-03	Emotivos mensajes de Morena Rial y Facundo Ambrosioni, luego de que el padre del joven recuperara su libertad	Ciudad Magazine	Entretenimiento
2018-11-14 09:09:34-03	[FOTOS] Así luce el bajista de Queen a 21 años de haber dejado la banda	Ahoranoticias.cl	Entretenimiento
2018-11-14 10:08:35-03	Selfie al natural	Diario de Cuyo	Entretenimiento
2018-11-13 18:50:33-03	Santiago Bal expuso a Carmen Barbieri en vivo contándole por qué le fue infiel	TN	Entretenimiento
2018-11-13 17:47:04-03	"Sofía ""Jujuy"" Jiménez reveló cómo conoció a Juan Martín Del Potro"	DiarioShow	Entretenimiento
2018-11-14 07:38:12-03	El picante comentario de Mica Viciconte tras la separación de Nicole Neumann	MDZ Online	Entretenimiento
2018-11-23 20:52:58-03	El Decano pica en punta	Olé	Deportes
2018-11-13 22:29:27-03	La nueva foto de Nicolás Cabré que podría enojar a Laurita Fernández	Perfil.com	Entretenimiento
2018-11-13 20:33:51-03	Shell baja 2,7% la nafta desde mañana y el Gobierno cree que ya se alcanzó un precio de equilibrio	LA NACION (Argentina.)	Economia
2018-11-14 04:18:50-03	Las 8 razones que hicieron subir un dólar que el mercado ya ve más cerca de la banda superior	Infobae.com	Economia
2018-11-13 21:27:55-03	Inteligencia artificial: cómo afectará la cuarta revolución a empresas y trabajadores argentinos	Ambito.com	Economia
2018-11-13 20:14:35-03	Las expectativas económicas siguen en retroceso	Minutouno.com	Economia
2018-11-14 06:13:33-03	Importante avance para la producción de litio en Jujuy	MDZ Online	Economia
2018-11-14 06:10:12-03	La utilización de la capacidad instalada de la industria bajó a 61,1% en septiembre	El Liberal Digital	Economia
2018-11-13 07:15:53-03	Crece la dependencia brasileña de las exportaciones hacia China	El Cronista	Economia
2018-11-13 01:34:57-03	Más estaciones de servicio no aceptan tarjeta de crédito por lo que les cobran las emisoras	LA NACION (Argentina.)	Economia
2018-11-14 09:22:37-03	Con menos pesos en circulación, crece el uso del dinero electrónico	ChacoHoy (Comunicado de prensa)	Economia
2018-11-13 06:22:12-03	Al menos en YPF no habría más subas de combustible este año	El Liberal Digital	Economia
2018-11-14 07:11:37-03	La palabra clave que salvó a una niña en Estados Unidos de ser raptada por un hombre	Infobae.com	Internacional
2018-11-13 19:44:31-03	Abogada acribillada en Paraguay: buscan a los protagonistas de una misteriosa reunión previa al crimen	Clarín.com	Internacional
2018-11-13 12:25:45-03	"Divorcio en malos términos: Trump ridiculiza a Macron y le pide que haga a Francia ""grande de nuevo"""	LA NACION (Argentina.)	Internacional
2018-11-14 10:06:40-03	"Nada nuevo"": Corficolombiana sobre el testimonio de Pizano	Dinero.com	Internacional
2018-11-14 07:47:24-03	Qué calles estarán cortadas y cómo funcionarán los aeropuertos durante la cumbre del G20	Infobae.com	Internacional
2018-11-14 00:20:10-03	En medio del juicio del Chapo las dudas sobre el poder real y el liderazgo del cártel de Sinaloa crecen	Infobae.com	Internacional
2018-11-14 10:26:39-03	Murió de vacaciones en Italia, la aerolínea perdió los papeles y su cuerpo está varado en Ezeiza	Clarín.com	Internacional
2018-11-14 08:38:00-03	VIDEO: Un joven sirio ejecutó “por honor” a su hermana y conmociona al mundo	El Tribuno.com.ar	Internacional
2018-11-13 16:13:22-03	CNN demanda a Trump por revocar la credencial de su periodista	Perfil.com	Internacional
2018-11-14 10:26:21-03	Quién es Avigdor Lieberman, el renunciante ministro de Defensa de Israel	Clarín.com	Internacional
2018-11-14 11:15:09-03	Renunció Triaca y dejará mañana la secretaría de Trabajo	LA NACION (Argentina.)	Nacional
2018-11-14 11:07:34-03	Pichetto habló de las fugas en su bloque: ""No me sorprenden y no son cuestionables"	LA NACION (Argentina.)	Nacional
2018-11-14 09:08:34-03	Trabajadores del Buenos Aires Design cortan la avenida Libertador por el cierre del centro comercial	Infobae.com	Nacional
2018-11-14 11:21:32-03	"Dujovne: ""Nuestro compromiso con la baja de impuestos es total, pero más con la estabilidad macroeconómica"""	LA NACION (Argentina.)	Nacional
2018-11-14 12:06:26-03	Una guerra judicial complica la boda de Gerardo Morales	Cadena 3	Nacional
2018-11-14 11:24:05-03	"Esposa descubrió orgía ""pirata"", viralizó el video y acabaron todos divorciados"	Crónica	Nacional
2018-11-14 08:59:59-03	Por nuevas asambleas de aeronavegantes se viene otra jornada de demoras y cancelaciones	ANDigital	Nacional
2018-11-14 10:54:08-03	Mauricio Macri y el pelo: se probó un producto contra la calvicie y mostró el video en Instagram	Clarín.com	Nacional
2018-11-14 10:18:26-03	Presupuesto 2019: vallaron el Congreso, en medio de protestas y cortes	LA NACION (Argentina.)	Nacional
2018-11-14 08:55:10-03	Bahía Blanca: entregaron medallas borradas con corrector a chicos discapacitados	Minutouno.com	Nacional
2018-11-14 11:00:41-03	Se cayó la página de la venta de entradas para la Superfinal: el enojo de los hinchas de River	TN	Deportes
2018-11-14 08:16:00-03	El video de Pablo Pérez que hizo estallar de bronca a los hinchas de Boca	TN	Deportes
2018-11-14 08:05:41-03	Paulo Gazzaniga, el arquero sorpresa de Lionel Scaloni	Clarín.com	Deportes
2018-11-14 07:12:22-03	"Si Messi no vuelve estamos al horno"" y el detalle jamás contado de Sudáfrica 2010: las mejores frases de Maradona	Infobae.com	Deportes
2018-11-14 09:36:31-03	Maradona negó haber criticado a Messi, disparó otra vez contra Scaloni y también la ligó Solari	Ambito.com	Deportes
2018-11-13 20:35:46-03	La causa de la primera tarjeta verde	Olé	Deportes
2018-11-14 12:52:12-03	En España dan por hecho el pase de Palacios a Real Madrid: se iría en enero por más de 20 millones de euros	LA NACION (Argentina.)	Deportes
2018-11-14 10:23:17-03	La Selección, al Mundial: un regreso que se demoró 12 años y estuvo marcado por una lucha	Clarín.com	Deportes
2018-11-14 12:53:14-03	Se desubicó: Pico Mónaco y un comentario sexual que avergonzó a sus compañeros	La Voz del Interior	Deportes
2018-11-14 09:57:18-03	¿Bianchi se copa? ¡El mensaje que ilusiona a los hinchas de Boca!	TyC Sports	Deportes
2018-11-14 08:11:02-03	Se realizarán acciones por el Día Mundial de la Diabetes	EL LITORAL	Salud
2018-11-14 03:01:41-03	A los 6, 17, 45 y 65 años: cuál es la mejor actividad física según la edad	Infobae.com	Salud
2018-11-14 10:53:06-03	Médico argentino identificó nuevo gen que causa la muerte súbita	Chaco Dia Por Dia	Salud
2018-11-14 08:30:16-03	Dieta para la diabetes: qué alimentos consumir y cuáles evitar	Clarín.com	Salud
2018-11-14 00:36:07-03	Cómo adelgazar en cada década de la vida	TN	Salud
2018-11-14 07:52:30-03	En lo que va del año, Iosper invirtió 160.000.000 de pesos en sus 7.974 afiliados diabéticos	AIM Digital	Salud
2018-11-14 10:19:04-03	¿Un milagro? El tumor cerebral de una paciente desapareció antes de la cirugía	El Tribuno.com.ar	Salud
2018-11-14 05:58:56-03	En Santiago, ya vacunaron al 80% de la población contra el sarampión	El Liberal Digital	Salud
2018-11-14 11:55:33-03	Trágico final de una mujer que se sometió a tratamiento de belleza	Infobae.com	Salud
2018-11-13 14:38:00-03	Desde hoy y hasta el jueves, controles de glucemia y actividades por el Día Mundial de la Diabetes	La Opinion	Salud
2018-11-13 16:57:21-03	El truco de WhatsApp para saber qué decía un mensaje eliminado	Misiones OnLine	Ciencia y Tecnologia
2018-11-14 07:07:35-03	Un 'huracán' de materia oscura se aproxima a la Tierra	MDZ Online	Ciencia y Tecnologia
2018-11-14 10:40:00-03	La novedad que trae WhatsApp para agregar contactos	Diario ElSol.com.ar Mendoza	Ciencia y Tecnologia
2018-11-13 18:00:23-03	¿Cómo crear stickers para WhatsApp?	Parentesis	Ciencia y Tecnologia
2018-11-13 16:20:47-03	Review – Moto e5 Play: Android Go para potenciar el rendimiento	Zoom Tecnológico Chile (Comunicado de prensa) (blog)	Ciencia y Tecnologia
2018-11-14 08:08:32-03	Tres aplicaciones que debés evitar descargar en tu celular	Tiempo de San Juan	Ciencia y Tecnologia
2018-11-14 12:02:20-03	The Game Awards 2018 | Conoce a los 6 títulos nominados para ""Juego del Año"	RPP	Ciencia y Tecnologia
2018-11-14 12:34:00-03	Qué te gusta y quiénes son tus amigos: la información revelada por un nuevo fallo de Facebook	El Observador	Ciencia y Tecnologia
2018-11-14 11:47:37-03	Primeras lluvias en 500 años en el Desierto de Atacama provocan devastación de especies microbianas	elciudadano.com	Ciencia y Tecnologia
2018-11-14 11:30:27-03	Los misterios del cráter Chicxulub, el sitio en México donde los científicos creen que comenzó el fin de los dinosaurios	Publimetro Chile	Ciencia y Tecnologia
2018-11-14 12:34:20-03	Lali Espósito y Pabllo Vittar, la drag queen brasileña, protagonistas de un jugado video	LA NACION (Argentina.)	Entretenimiento
2018-11-13 12:29:06-03	El llamativo apoyo de Paula Chaves a Flor Vigna, en medio del escándalo con Laurita Fernández y Nicolás Cabré	Infobae.com	Entretenimiento
2018-11-14 11:29:00-03	Murió la reina de la Vendimia más votada en una elección	Diario ElSol.com.ar Mendoza	Entretenimiento
2018-11-13 23:28:16-03	Mauro Caiazza le propuso a Jimena Barón en vivo que sea su novia… ¡y ella respondió con un tremendo beso!	Ciudad Magazine	Entretenimiento
2018-11-14 02:16:52-03	"ShowMatch 2018: en una noche de besos y peleas, Gabo Usandivaras abandonó el ""Bailando por un sueño"""	LA NACION (Argentina.)	Entretenimiento
2018-11-14 11:57:34-03	La historia de John Deacon, ex bajista de Queen que se alejó hace 21 años de la banda	Radio Futuro	Entretenimiento
2018-11-14 11:13:38-03	"La llamativa reacción de Nicole Neumann cuando le preguntaron si está ""soltera y deprimida"""	Ciudad Magazine	Entretenimiento
2018-11-14 11:14:11-03	Insólito debate en una foto de Wanda Nara: ¿su millonaria casa tiene humedad?	TN	Entretenimiento
2018-11-14 12:17:14-03	"La reacción de Jujuy Jiménez cuando le contaron la ""gran"" fama de Juan Martín Del Potro"	TN	Entretenimiento
2018-11-13 19:50:22-03	Después de 7 años, Santiago Bal asumió que engañó a Carmen Barbieri y ella lo justificó en vivo	La Voz del Interior	Entretenimiento
2018-11-14 11:42:30-03	El dólar saltó 24 centavos y volvió a romper la barrera de los $37	San Juan 8	Economia
2018-11-13 20:33:51-03	Shell baja 2,7% la nafta desde mañana y el Gobierno cree que ya se alcanzó un precio de equilibrio	LA NACION (Argentina.)	Economia
2018-11-13 21:27:55-03	Inteligencia artificial: cómo afectará la cuarta revolución a empresas y trabajadores argentinos	Ambito.com	Economia
2018-11-14 11:55:13-03	La bolsa porteña rebota y sube un 1,6% impulsada por acciones del sector financiero	Ambito.com	Economia
2018-11-14 01:03:00-03	Se inició la operación del proyecto Cauchari Olaroz	El Tribuno.com.ar	Economia
2018-11-13 14:45:10-03	Por problemas de rentabilidad, cada vez más estaciones de servicio no aceptan tarjeta de crédito	iprofesional.com	Economia
2018-11-14 06:10:12-03	La utilización de la capacidad instalada de la industria bajó a 61,1% en septiembre	El Liberal Digital	Economia
2018-11-14 12:15:30-03	Sorpresa: una petrolera bajó el precio de sus combustibles por la caída del crudo y del dólar	iprofesional.com	Economia
2018-11-14 09:58:39-03	Las expectativas económicas cayeron en octubre	Clarín.com	Economia
2018-11-14 09:22:37-03	Con menos pesos en circulación, crece el uso del dinero electrónico	ChacoHoy (Comunicado de prensa)	Economia
2018-11-14 00:20:10-03	En medio del juicio del Chapo las dudas sobre el poder real y el liderazgo del cártel de Sinaloa crecen	Infobae.com	Internacional
2018-11-13 17:26:41-03	La chica de 11 años que evitó ser secuestrada gracias a una palabra clave	LA NACION (Argentina.)	Internacional
2018-11-14 10:39:13-03	Odebrecht: conmoción en Colombia por la muerte de un testigo clave y de su hijo envenenado	Ambito.com	Internacional
2018-11-14 11:26:14-03	Diez disparos y ninguna pista: los detalles del crimen de la abogada argentina que defendía a narcos en Paraguay	Ambito.com	Internacional
2018-11-14 12:07:29-03	Murió de vacaciones en Italia, la aerolínea perdió los papeles y su cuerpo está varado en Ezeiza	Clarín.com	Internacional
2018-11-14 09:24:31-03	Qué calles estarán cortadas y cómo funcionarán los aeropuertos durante la cumbre del G20	Infobae.com	Internacional
2018-11-14 12:04:45-03	Tensión entre Trump y Macron	Diario Uno	Internacional
2018-11-14 12:13:34-03	Brexit: 10 claves para entender qué pasa con el Reino Unido y la Unión Europea	Clarín.com	Internacional
2018-11-13 10:35:44-03	El video que indigna al mundo: fusila a su hermana con un AK-47 por haber sido violada	Clarín.com	Internacional
2018-11-14 07:46:19-03	Amigos: cae 12 metros, pero lo salva su compañero	MDZ Online	Internacional
2018-11-14 16:29:37-03	Senado: el Presupuesto se votaría por la madrugada tras 15 horas de debate	LA NACION (Argentina.)	Nacional
2018-11-14 16:31:21-03	Se filmaron en una fiesta sexual, se viralizaron los videos y terminó en escándalo	Clarín.com	Nacional
2018-11-14 14:55:59-03	"Dujovne aseguró que el gasto público bajará otro 10% ""en términos reales"" en 2019"	Télam	Nacional
2018-11-14 13:52:10-03	Es oficial: Jorge Triaca deja Trabajo y mañana explicarán cómo será la transición	Clarín.com	Nacional
2018-11-14 16:02:56-03	El increíble relato del hombre que la policía llevó a una villa para que recuperara lo que le habían robado	Infobae.com	Nacional
2018-11-14 16:33:58-03	Un bebé de un año ingresó al hospital de Berisso intoxicado con cocaína	Infobae.com	Nacional
2018-11-14 16:57:43-03	"Ejecutaron a un prestamista en Rosario y le dejaron un cartel que decía ""con la mafia no se jode"""	LA NACION (Argentina.)	Nacional
2018-11-14 15:00:15-03	Unos 400 trabajadores del Buenos Aires Design cortaron Libertador por el cierre del complejo	Télam	Nacional
2018-11-14 08:59:59-03	Por nuevas asambleas de aeronavegantes se viene otra jornada de demoras y cancelaciones	ANDigital	Nacional
2018-11-14 17:32:00-03	Niños discapacitados recibieron medallas con la inscripción escrita con corrector	El Tribuno.com.ar	Nacional
2018-11-14 14:45:31-03	Venta de entradas para Superfinal: web de River colapsó 1 hora, quejas de los hinchas	Diario 26	Deportes
2018-11-14 12:29:00-03	River-Boca: 80 mil pedidos virtuales hicieron colapsar la página que vendía las últimas entradas	Total News Agency	Deportes
2018-11-14 16:06:38-03	Pico Mónaco hizo al aire un desubicado comentario sexual	Clarín.com	Deportes
2018-11-14 15:33:14-03	Boca-River: la reacción de Pablo Pérez para proteger a Milton Casco	Clarín.com	Deportes
2018-11-14 12:49:24-03	Leo Ponzio tiene al alta médica y podrá jugar en la revancha ante Boca	TN	Deportes
2018-11-14 16:16:54-03	Otra baja sensible para la Selección: será desafectado un defensor	Infobae.com	Deportes
2018-11-14 14:44:31-03	D'Onofrio pidió que no revisen el vestuario de Boca	Olé	Deportes
2018-11-14 17:30:52-03	Ya vendieron 40 mil entradas para Argentina-México en Córdoba	Télam	Deportes
2018-11-14 15:44:09-03	"El amor es más fuerte: ""Doy la silla de ruedas a cambio de la Copa Libertadores"""	Infobae.com	Deportes
2018-11-14 10:10:17-03	El misterioso mensaje de Edwin Cardona a días de la revancha de la Superfinal	TN	Deportes
2018-11-14 14:15:19-03	Diabetes tipo 1: la que afecta a los más chicos y de la que casi no se habla	Infobae.com	Salud
2018-11-13 18:48:43-03	Un cardiólogo argentino identificó un nuevo gen que causa la muerte súbita	LA NACION (Argentina.)	Salud
2018-11-14 08:30:16-03	Dieta para la diabetes: qué alimentos consumir y cuáles evitar	Clarín.com	Salud
2018-11-14 10:53:34-03	A pocas horas de entrar al quirófano, le informaron que el tumor cerebral desapareció	LA NACION (Argentina.)	Salud
2018-11-14 03:01:41-03	A los 6, 17, 45 y 65 años: cuál es la mejor actividad física según la edad	Infobae.com	Salud
2018-11-14 00:36:07-03	Cómo adelgazar en cada década de la vida	TN	Salud
2018-11-14 17:32:00-03	Un imperativo: Desalentar la automedicación	ANDigital	Salud
2018-11-14 15:12:33-03	Programa “Estaciones saludables” llega a la plaza “San Martín”	Sin Mordaza	Salud
2018-11-14 12:31:18-03	Continúa la Campaña de Vacunación contra el Sarampión y la Rubéola	El Diario Nuevo Dia	Salud
2018-11-14 07:48:04-03	Prevención: Lalcec realizará controles gratuitos por manchas en la piel y lunares	Esperanza DíaXDía	Salud
2018-11-14 14:40:36-03	Cómo funciona el código QR, la función clave que WhatsApp copió de Snapchat e Instagram	Clarín.com	Ciencia y Tecnologia
2018-11-13 12:30:04-03	El truco de WhatsApp para saber qué decía un mensaje eliminado	Clarín.com	Ciencia y Tecnologia
2018-11-14 15:42:12-03	Tres apps de Android para tener los mejores stickers en Whatsapp	TN	Ciencia y Tecnologia
2018-11-14 06:06:46-03	Nos hundimos en un 'huracán' de materia oscura que podría revelar sus secretos	Hipertextual	Ciencia y Tecnologia
2018-11-14 10:54:40-03	Ahora podrá jugar con un teclado y un mouse en su Xbox One	ElTiempo.com	Ciencia y Tecnologia
2018-11-14 08:08:32-03	Tres aplicaciones que debés evitar descargar en tu celular	Tiempo de San Juan	Ciencia y Tecnologia
2018-11-14 12:29:42-03	La PlayStation 5 llegaría con un joystick con pantalla incluida	Clarín.com	Ciencia y Tecnologia
2018-11-14 15:50:04-03	El “abuelo Pokémon”: tiene 70 años y sale a cazar con 15 celulares a la vez	Clarín.com	Ciencia y Tecnologia
2018-11-14 14:34:19-03	La NASA apuesta a llevar hombres a Marte en un plazo de 25 años	Infobae.com	Ciencia y Tecnologia
2018-11-14 16:24:51-03	Cráter Chicxulub: padre de los humanos, verdugo de los dinosaurios	canalantigua.tv	Ciencia y Tecnologia
2018-11-14 13:50:09-03	En medio del escándalo entre Flor Vigna y Laurita Fernández, Gimena Accardi publicó un video besando a Nicolás ...	Infobae.com	Entretenimiento
2018-11-14 17:23:20-03	¡Bomba! ¿Que hacía Karina Jelinek junto a Rodrigo Bueno la noche previa a su trágico accidente?	Clarín.com	Entretenimiento
2018-11-14 14:55:00-03	Verónica Ojeda, triste por la misteriosa enfermedad de Dieguito Fernando	TN	Entretenimiento
2018-11-14 15:16:19-03	Lali Espósito: explosivo video junto a Pabllo Vittar	Clarín.com	Entretenimiento
2018-11-14 15:56:15-03	"El pedido lleno de amor y ternura de Mauro Caiazza a Jimena Barón: ""¿Querés ser mi novia?"""	Infobae.com	Entretenimiento
2018-11-14 12:50:41-03	"A Jujuy Jiménez le contaron sobre el ""gran mito"" de Del Potro y así reaccionó"	El Trece	Entretenimiento
2018-11-13 14:36:07-03	¿Humedad o mármol? La impensada discusión en un posteo de Wanda Nara	La Voz del Interior	Entretenimiento
2018-11-14 12:53:53-03	Luego de anunciar su separación definitiva de Charlotte Caniggia, Lhoan presentó novia	Infobae.com	Entretenimiento
2018-11-14 16:52:30-03	"Murió Katherine MacGregor, la señora Harriet Oleson en ""La Familia Ingalls"""	Infobae.com	Entretenimiento
2018-11-14 07:21:37-03	La madre de Esmeralda Mitre fue a ShowMatch y resultó la gran sorpresa de la noche	Diario Panorama de Santiago del Estero	Entretenimiento
2018-11-14 16:34:49-03	En la City anticipan qué hará el BCRA si el dólar quiebra la banda inferior	El Cronista	Economia
2018-11-14 17:54:20-03	Luego de cuatro bajas, el Merval rebotó un 2,9% impulsado por acciones del sector financiero y energético	Ambito.com	Economia
2018-11-13 20:33:51-03	Shell baja 2,7% la nafta desde mañana y el Gobierno cree que ya se alcanzó un precio de equilibrio	LA NACION (Argentina.)	Economia
2018-11-13 21:27:55-03	Inteligencia artificial: cómo afectará la cuarta revolución a empresas y trabajadores argentinos	Ambito.com	Economia
2018-11-14 14:53:50-03	Minera EXAR inició su producción de litio en Cauchari Olaroz	Página Central Jujuy	Economia
2018-11-13 20:14:35-03	Las expectativas económicas siguen en retroceso	Minutouno.com	Economia
2018-11-14 15:41:50-03	Pymes lácteas llevan 15 meses consecutivos de pérdidas	Diario Uno	Economia
2018-11-13 14:45:10-03	Por problemas de rentabilidad, cada vez más estaciones de servicio no aceptan tarjeta de crédito	iprofesional.com	Economia
2018-11-14 09:24:50-03	Tras lanzar BioBus, Santa Fe busca que todo el transporte público utilice biodiesel	Infocampo	Economia
2018-11-14 10:11:13-03	¿Qué es la criptomoneda que se lanza en Argentina?	El Patagónico	Economia
2018-11-13 17:26:41-03	La chica de 11 años que evitó ser secuestrada gracias a una palabra clave	LA NACION (Argentina.)	Internacional
2018-11-14 13:22:46-03	Muere envenenado con cianuro el hijo de un testigo clave en la causa Odebrecht en Colombia	LA NACION (Argentina.)	Internacional
2018-11-21 12:36:26-03	La última entrevista a Michael Schumacher	La Voz del Interior	Deportes
2018-11-14 16:55:57-03	El gobierno británico respaldó el principio de acuerdo con la UE sobre el Brexit	Infobae.com	Internacional
2018-11-14 08:56:06-03	Las acusaciones del abogado de “El Chapo” contra dos presidentes de México	El Nacional.com	Internacional
2018-11-14 13:43:10-03	Una argentina murió durante sus vacaciones en Italia y su cuerpo está varado en Ezeiza hace cinco días	LA NACION (Argentina.)	Internacional
2018-11-14 15:57:50-03	"Los escalofriantes audios de la abogada de los narcos brasileños asesinada en Paraguay: ""Si me agarran, me licúan"""	Infobae.com	Internacional
2018-11-14 09:24:31-03	Qué calles estarán cortadas y cómo funcionarán los aeropuertos durante la cumbre del G20	Infobae.com	Internacional
2018-11-14 10:23:27-03	¿Es la caravana migrante una amenaza a la seguridad de EEUU?	La Prensa de Honduras	Internacional
2018-11-14 14:56:23-03	El perro más fiel: su dueña murió en un accidente de tránsito y hace 80 días que la espera	TN	Internacional
2018-11-14 15:43:19-03	Monica Lewinsky dice que se disculparía de nuevo con Hillary Clinton por el escándalo de 1998	Telemundo	Internacional
2018-11-15 03:33:45-03	Con apoyo de un sector del PJ, el oficialismo aprobó el presupuesto	LA NACION (Argentina.)	Nacional
2018-11-15 08:54:49-03	ARA San Juan: paso a paso, las últimas horas de contacto con el submarino	Clarín.com	Nacional
2018-11-15 07:44:24-03	Allanaron una casa tomada por anarquistas y hay diez nuevos detenidos por los ataques con explosivos	Infobae.com	Nacional
2018-11-15 03:01:59-03	En la Noche de las Heladerías Artesanales, 7 lugares para disfrutar de los mejores sabores	Infobae.com	Nacional
2018-11-14 21:26:41-03	Macri: “La Argentina va a ser grande cuando cada región se desarrolle en todo su potencial”	Diario La Ciudad de Avellaneda	Nacional
2018-11-15 05:05:20-03	Uno por uno, así votaron los senadores el Presupuesto 2019	Ambito.com	Nacional
2018-11-14 18:27:51-03	Las razones detrás de la salida de Triaca: un adiós anunciado en un contexto de ajuste y estancamiento	LA NACION (Argentina.)	Nacional
2018-11-14 18:34:55-03	"Hicieron una fiesta sexual y se viralizaron los videos: ""Se van a separar todos"""	Infobae.com	Nacional
